iata,icao,state,country,candidate_networks,candidate_sid,mwgg_tz,lat,lon,matched_network,evidence_basis,location_distance_km,valid_subperiod_start,valid_subperiod_end,utc_offset_equivalent_2018_2019,found_in_iem_network,verification_tier,iem_tzname,archive_begin,archive_end,period_covers_2018_2019,tz_matches_mwgg,note
ADQ,PADQ,Alaska,US,AK_ASOS,PADQ,America/Anchorage,57.75,-152.4940033,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.006129337410133617,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1945-01-01,,True,True,
AEX,KAEX,Louisiana,US,LA_ASOS,AEX,America/Chicago,31.3274002075,-92.5497970581,LA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.1653033310741836,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1943-09-01,,True,True,
AGS,KAGS,Georgia,US,GA_ASOS,AGS,America/New_York,33.3698997498,-81.9645004272,GA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",4.8454170710677725e-05,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-12-31,,True,True,
AKN,PAKN,Alaska,US,AK_ASOS,PAKN,America/Anchorage,58.67679977,-156.6490021,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.8074113417738287,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1935-07-01,,True,True,
ALB,KALB,New York,US,NY_ASOS,ALB,America/New_York,42.748298645,-73.8016967773,NY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.0458737979206632,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-01-01,,True,True,
ALO,KALO,Iowa,US,IA_ASOS,ALO,America/Chicago,42.5570983887,-92.4002990723,IA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.31104659407574464,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1949-01-01,,True,True,
ALW,KALW,Washington,US,WA_ASOS,ALW,America/Los_Angeles,46.09489822,-118.288002,WA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.07772698665819096,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1931-01-11,,True,True,
AMA,KAMA,Texas,US,TX_ASOS,AMA,America/Chicago,35.2193984985,-101.7060012817,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.009202023945595309,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1932-01-01,,True,True,
ANC,PANC,Alaska,US,AK_ASOS,PANC,America/Anchorage,61.1744003296,-149.9960021973,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.6962568154349136,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1953-11-01,,True,True,
APN,KAPN,Michigan,US,MI_ASOS,APN,America/Detroit,45.0780983,-83.56030273,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7808247131633824,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1959-09-01,,True,True,
ART,KART,New York,US,NY_ASOS,ART,America/New_York,43.9919013977,-76.021697998,NY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.4986422072267164,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1949-04-30,,True,True,
ASE,KASE,Colorado,US,CO_ASOS,ASE,America/Denver,39.22320175,-106.8690033,CO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.008900549482048355,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1972-12-31,,True,True,
ATL,KATL,Georgia,US,GA_ASOS,ATL,America/New_York,33.6366996765,-84.4281005859,GA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.4653094865454117,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-01-01,,True,True,
ATW,KATW,Wisconsin,US,WI_ASOS,ATW,America/Chicago,44.2580986023,-88.5190963745,WI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00032790053105050885,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1980-09-10,,True,True,
ATY,KATY,South Dakota,US,SD_ASOS,ATY,America/Chicago,44.91400146,-97.15470123,SD_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00018904212819044589,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1948-01-01,,True,True,
AUS,KAUS,Texas,US,TX_ASOS,AUS,America/Chicago,30.1944999695,-97.6698989868,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.5997359255505164,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1998-04-28,,True,True,
AVL,KAVL,North Carolina,US,NC_ASOS,AVL,America/New_York,35.4361991882,-82.5418014526,NC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.6167700217120218,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1948-01-01,,True,True,
AVP,KAVP,Pennsylvania,US,PA_ASOS,AVP,America/New_York,41.3385009766,-75.7233963013,PA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.5591145265917554,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1934-09-21,,True,True,
AZA,KIWA,Arizona,US,AZ_ASOS,AZA,America/Phoenix,33.30780029,-111.6549988,,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",,,,,False,unconfirmed,,,,,,candidate sid AZA not found in AZ_ASOS
AZO,KAZO,Michigan,US,MI_ASOS,AZO,America/Detroit,42.2349014282,-85.5521011353,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0278544110992788,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1972-12-31,,True,True,
BDL,KBDL,Connecticut,US,CT_ASOS,BDL,America/New_York,41.9388999939,-72.6831970215,CT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.10600456835458327,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1941-09-12,,True,True,
BET,PABE,Alaska,US,AK_ASOS,PABE,America/Anchorage,60.77980042,-161.8379974,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.9172160507874784,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1945-01-01,,True,True,
BFF,KBFF,Nebraska,US,NE_ASOS,BFF,America/Denver,41.87400055,-103.5960007,NE_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.03317700307795852,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1940-04-13,,True,True,
BFL,KBFL,California,US,CA_ASOS,BFL,America/Los_Angeles,35.43360138,-119.0569992,CA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.268705456428721,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1928-01-01,,True,True,
BFM,KBFM,Alabama,US,AL_ASOS,BFM,America/Chicago,30.6268005371,-88.0680999756,AL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",5.9768493355013575e-05,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1942-07-01,,True,True,
BGM,KBGM,New York,US,NY_ASOS,BGM,America/New_York,42.20869827,-75.97979736,NY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.013553739000155482,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1948-01-01,,True,True,
BGR,KBGR,Maine,US,ME_ASOS,BGR,America/New_York,44.8073997498,-68.8281021118,ME_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00016890824904388578,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1941-11-30,,True,True,
BHM,KBHM,Alabama,US,AL_ASOS,BHM,America/Chicago,33.56290054,-86.75350189,AL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.847804571296441,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1942-08-01,,True,True,
BIL,KBIL,Montana,US,MT_ASOS,BIL,America/Denver,45.8077011108,-108.5429992676,MT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.10850457426702773,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1935-05-01,,True,True,
BIS,KBIS,North Dakota,US,ND_ASOS,BIS,America/Chicago,46.7727012634,-100.7460021973,ND_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.015399356889712053,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1900-12-31,,True,True,
BJI,KBJI,Minnesota,US,MN_ASOS,BJI,America/Chicago,47.50939941,-94.93370056,MN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",7.793043801964256e-05,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1972-12-31,,True,True,
BKG,KBBG,Missouri,US,MO_ASOS,BKG,America/Chicago,36.532082,-93.200544,,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",,,,,False,unconfirmed,,,,,,candidate sid BKG not found in MO_ASOS
BLI,KBLI,Washington,US,WA_ASOS,BLI,America/Los_Angeles,48.7928009033,-122.5380020142,WA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.03844789185704071,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1930-02-05,,True,True,
BLV,KBLV,Illinois,US,IL_ASOS,BLV,America/Chicago,38.54520035,-89.83519745,IL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.4179645278618385,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1938-01-01,,True,True,
BMI,KBMI,Illinois,US,IL_ASOS,BMI,America/Chicago,40.47710037,-88.91590118,IL_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00010795429288141793,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1976-04-02,,True,True,
BNA,KBNA,Tennessee,US,TN_ASOS,BNA,America/Chicago,36.1245002747,-86.6781997681,TN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.167904813323156,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1934-01-01,,True,True,
BOI,KBOI,Idaho,US,ID_ASOS,BOI,America/Boise,43.56439972,-116.2229996,ID_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.4409550449487971,2018-01-01,2019-12-31,,True,confirmed_period,America/Boise,1929-01-01,,True,True,
BOS,KBOS,Massachusetts,US,MA_ASOS,BOS,America/New_York,42.36429977,-71.00520325,MA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.5529449150622391,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1936-01-01,,True,True,
BPT,KBPT,Texas,US,TX_ASOS,BPT,America/Chicago,29.950799942,-94.0206985474,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.5401073454189395,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1944-03-04,,True,True,
BQK,KBQK,Georgia,US,GA_ASOS,BQK,America/New_York,31.2588005066,-81.4664993286,GA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",8.512375009720977e-05,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1972-12-31,,True,True,
BQN,TJBQ,Aguadilla,PR,PR_ASOS,TJBQ,America/Puerto_Rico,18.4948997498,-67.1294021606,PR_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00022953202752117619,2018-01-01,2019-12-31,,True,confirmed_period,America/Puerto_Rico,1940-03-11,,True,True,
BRD,KBRD,Minnesota,US,MN_ASOS,BRD,America/Chicago,46.39830017,-94.13809967,MN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.9053870326441377,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1972-12-31,,True,True,
BRO,KBRO,Texas,US,TX_ASOS,BRO,America/Chicago,25.9067993164,-97.4259033203,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.9115875969276712,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1947-01-01,,True,True,
BRW,PABR,Alaska,US,AK_ASOS,PABR,America/Anchorage,71.2854003906,-156.7660064697,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.9850953331222948,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1920-10-01,,True,True,
BTM,KBTM,Montana,US,MT_ASOS,BTM,America/Denver,45.9547996521,-112.4970016479,MT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0385254625705876,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1931-04-06,,True,True,
BTR,KBTR,Louisiana,US,LA_ASOS,BTR,America/Chicago,30.53319931,-91.14959717,LA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.5144187971534238,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1932-06-04,,True,True,
BTV,KBTV,Vermont,US,VT_ASOS,BTV,America/New_York,44.4719009399,-73.1532974243,VT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.33636223048083225,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1947-12-31,,True,True,
BUF,KBUF,New York,US,NY_ASOS,BUF,America/New_York,42.94049835,-78.73220062,NY_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.29490842402125383,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1929-12-16,,True,True,
BUR,KBUR,California,US,CA_ASOS,BUR,America/Los_Angeles,34.2006988525,-118.3590011597,CA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.027696905849205047,2018-01-01,2019-12-31,,True,confirmed_period,America/Los_Angeles,1943-06-01,,True,True,
BWI,KBWI,Maryland,US,MD_ASOS,BWI,America/New_York,39.17539978,-76.66829681,MD_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.3821225288817927,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-01-01,,True,True,
BZN,KBZN,Montana,US,MT_ASOS,BZN,America/Denver,45.77750015,-111.1529999,MT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.3247924795629722,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1948-01-01,,True,True,
CAE,KCAE,South Carolina,US,SC_ASOS,CAE,America/New_York,33.9388008118,-81.1194992065,SC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.3679943069018782,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1942-04-23,,True,True,
CAK,KCAK,Ohio,US,OH_ASOS,CAK,America/New_York,40.9160995483,-81.442199707,OH_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",5.593629702330334e-05,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1948-07-01,,True,True,
CDC,KCDC,Utah,US,UT_ASOS,CDC,America/Denver,37.7010002136,-113.0989990234,UT_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.14186317098405832,2018-01-01,2019-12-31,,True,confirmed_period,America/Denver,1928-01-01,,True,True,
CDV,PACV,Alaska,US,AK_ASOS,PACV,America/Anchorage,60.4917984,-145.4779968,AK_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.5080163730402143,2018-01-01,2019-12-31,,True,confirmed_period,America/Anchorage,1942-06-11,,True,True,
CGI,KCGI,Missouri,US,MO_ASOS,CGI,America/Chicago,37.2252998352,-89.5708007813,MO_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",7.156269893967811e-05,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1972-12-31,,True,True,
CHA,KCHA,Tennessee,US,TN_ASOS,CHA,America/New_York,35.0353012085,-85.2037963867,TN_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.00035536487887495523,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1932-12-31,,True,True,
CHO,KCHO,Virginia,US,VA_ASOS,CHO,America/New_York,38.1385993958,-78.4529037476,VA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0003345690297566766,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1961-04-20,,True,True,
CHS,KCHS,South Carolina,US,SC_ASOS,CHS,America/New_York,32.89860153,-80.04049683,SC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0003413745397823711,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-01-01,,True,True,
CID,KCID,Iowa,US,IA_ASOS,CID,America/Chicago,41.8847007751,-91.7108001709,IA_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.1598313309950574,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1972-12-31,,True,True,
CIU,KCIU,Michigan,US,MI_ASOS,CIU,America/Detroit,46.2508010864,-84.4723968506,MI_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.20469716683913322,2018-01-01,2019-12-31,,True,confirmed_period,America/Detroit,1953-04-14,,True,True,
CKB,KCKB,West Virginia,US,WV_ASOS,CKB,America/New_York,39.2966003418,-80.2281036377,WV_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.0003153280293084366,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1972-12-31,,True,True,
CLE,KCLE,Ohio,US,OH_ASOS,CLE,America/New_York,41.4117012024,-81.8498001099,OH_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.7006623409894833,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1931-02-14,,True,True,
CLL,KCLL,Texas,US,TX_ASOS,CLL,America/Chicago,30.58860016,-96.36380005,TX_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",0.05643226096865255,2018-01-01,2019-12-31,,True,confirmed_period,America/Chicago,1929-07-25,,True,True,
CLT,KCLT,North Carolina,US,NC_ASOS,CLT,America/New_York,35.2140007019,-80.9430999756,NC_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.3962403912390466,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1941-07-22,,True,True,
CMH,KCMH,Ohio,US,OH_ASOS,CMH,America/New_York,39.9980010986,-82.8918991089,OH_ASOS,"IEM network-metadata lookup only: station id presence + archive period coverage + tzname string match. Does NOT by itself confirm physical location, facility identity, or absence of a mid-period relocation/rename.",1.1969710658278212,2018-01-01,2019-12-31,,True,confirmed_period,America/New_York,1945-04-01,,True,True,
