ID,Month,Day_of_Month,Estimated_Departure_Time,Estimated_Arrival_Time,Origin_Airport,Destination_Airport,Distance,Airline,Carrier_Code(IATA),Carrier_ID(DOT),Tail_Number,matched,route,carrier_group
TRAIN_036327,8,6,1220,1310,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N484HA,False,HNL->KOA,reporting carrier
TRAIN_047174,8,20,1958,2045,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N493HA,False,KOA->HNL,reporting carrier
TRAIN_054107,8,18,726,807,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N483HA,False,HNL->LIH,reporting carrier
TRAIN_062433,8,13,953,1041,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N483HA,False,HNL->KOA,reporting carrier
TRAIN_070833,8,23,810,844,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N488HA,False,LIH->HNL,reporting carrier
TRAIN_071928,8,28,650,726,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N480HA,False,OGG->HNL,reporting carrier
TRAIN_074449,8,5,1340,1426,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N483HA,False,HNL->OGG,reporting carrier
TRAIN_075025,8,2,1950,2030,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N488HA,False,HNL->OGG,reporting carrier
TRAIN_075475,8,15,615,709,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N492HA,False,HNL->ITO,reporting carrier
TRAIN_079388,8,2,1100,1340,LAX,KOA,2504,Hawaiian Airlines Inc.,HA,19690,N361HA,False,LAX->KOA,reporting carrier
TRAIN_080863,8,10,1050,1855,OGG,OAK,2349,Hawaiian Airlines Inc.,HA,19690,N583HA,False,OGG->OAK,reporting carrier
TRAIN_081626,8,20,1805,1853,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N495HA,False,HNL->KOA,reporting carrier
TRAIN_082067,8,17,1445,2310,HNL,LAX,2556,Hawaiian Airlines Inc.,HA,19690,N383HA,False,HNL->LAX,reporting carrier
TRAIN_082828,8,15,1321,1357,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N476HA,False,LIH->HNL,reporting carrier
TRAIN_085087,8,5,1850,1936,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N484HA,False,KOA->HNL,reporting carrier
TRAIN_087113,8,19,614,650,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N479HA,False,OGG->HNL,reporting carrier
TRAIN_094819,8,22,1003,1040,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N489HA,False,LIH->HNL,reporting carrier
TRAIN_096580,8,23,800,1030,OAK,HNL,2409,Hawaiian Airlines Inc.,HA,19690,N215HA,False,OAK->HNL,reporting carrier
TRAIN_104456,8,4,1321,1357,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N475HA,False,LIH->HNL,reporting carrier
TRAIN_106979,8,10,1850,1936,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N487HA,False,KOA->HNL,reporting carrier
TRAIN_107882,8,25,1853,1928,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N480HA,False,LIH->HNL,reporting carrier
TRAIN_110944,8,4,1605,1646,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N479HA,False,HNL->LIH,reporting carrier
TRAIN_112626,8,28,1415,2245,HNL,SAN,2614,Hawaiian Airlines Inc.,HA,19690,N379HA,False,HNL->SAN,reporting carrier
TRAIN_118317,8,14,1015,1315,SEA,OGG,2640,Hawaiian Airlines Inc.,HA,19690,N379HA,False,SEA->OGG,reporting carrier
TRAIN_120272,8,4,810,906,HNL,ITO,216,,HA,19690,N485HA,False,HNL->ITO,reporting carrier
TRAIN_122367,8,14,1409,1445,LIH,HNL,102,,HA,19690,N493HA,False,LIH->HNL,reporting carrier
TRAIN_123262,8,23,1450,1534,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N488HA,False,HNL->LIH,reporting carrier
TRAIN_123450,8,28,1618,1657,OGG,ITO,121,,HA,19690,N492HA,False,OGG->ITO,reporting carrier
TRAIN_124176,8,20,1835,1913,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N477HA,False,OGG->HNL,reporting carrier
TRAIN_124423,8,22,1856,1948,ITO,HNL,216,Hawaiian Airlines Inc.,,19690,N476HA,False,ITO->HNL,reporting carrier
TRAIN_126143,8,24,1230,2100,HNL,LGB,2569,Hawaiian Airlines Inc.,HA,19690,N214HA,False,HNL->LGB,reporting carrier
TRAIN_130760,8,5,900,1145,LAX,OGG,2486,Hawaiian Airlines Inc.,,19690,N399HA,False,LAX->OGG,reporting carrier
TRAIN_134107,8,30,936,1031,HNL,ITO,216,Hawaiian Airlines Inc.,,19690,N489HA,False,HNL->ITO,reporting carrier
TRAIN_136211,8,6,1740,1815,LIH,HNL,102,Hawaiian Airlines Inc.,,19690,N488HA,False,LIH->HNL,reporting carrier
TRAIN_141351,8,29,2035,2121,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N493HA,False,HNL->KOA,reporting carrier
TRAIN_142560,8,11,1825,1904,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N480HA,False,HNL->OGG,reporting carrier
TRAIN_144657,8,25,1910,1947,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N490HA,False,OGG->HNL,reporting carrier
TRAIN_158579,8,14,2027,2104,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N487HA,False,OGG->HNL,reporting carrier
TRAIN_159390,8,2,726,807,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N489HA,False,HNL->LIH,reporting carrier
TRAIN_161524,8,31,1415,2245,HNL,SAN,2614,,,19690,N360HA,False,HNL->SAN,reporting carrier
TRAIN_163190,8,29,1111,1200,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N491HA,False,KOA->HNL,reporting carrier
TRAIN_164243,8,26,933,1012,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N475HA,False,OGG->HNL,reporting carrier
TRAIN_169235,8,22,1521,1615,ITO,HNL,216,,HA,19690,N491HA,False,ITO->HNL,reporting carrier
TRAIN_172393,8,23,2150,2231,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N481HA,False,HNL->OGG,reporting carrier
TRAIN_173698,8,14,1100,1156,HNL,ITO,216,Hawaiian Airlines Inc.,,19690,N495HA,False,HNL->ITO,reporting carrier
TRAIN_174148,8,5,1305,2115,HNL,SJC,2417,Hawaiian Airlines Inc.,HA,19690,N395HA,False,HNL->SJC,reporting carrier
TRAIN_175351,8,9,621,706,HNL,KOA,163,Hawaiian Airlines Inc.,,19690,N481HA,False,HNL->KOA,reporting carrier
TRAIN_178919,8,7,2027,2104,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N493HA,False,OGG->HNL,reporting carrier
TRAIN_184096,8,16,1722,1802,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N494HA,False,HNL->LIH,reporting carrier
TRAIN_187119,8,7,935,1017,HNL,LIH,102,Hawaiian Airlines Inc.,,19690,N485HA,False,HNL->LIH,reporting carrier
TRAIN_187312,8,9,803,850,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N484HA,False,HNL->KOA,reporting carrier
TRAIN_190379,8,23,936,1031,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N489HA,False,HNL->ITO,reporting carrier
TRAIN_191391,8,29,1125,1930,OGG,OAK,2349,Hawaiian Airlines Inc.,HA,19690,N582HA,False,OGG->OAK,reporting carrier
TRAIN_191519,8,8,2151,2235,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N485HA,False,KOA->HNL,reporting carrier
TRAIN_200855,8,30,816,857,HNL,LIH,102,Hawaiian Airlines Inc.,,19690,N475HA,False,HNL->LIH,reporting carrier
TRAIN_203131,8,7,736,821,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N486HA,False,KOA->HNL,reporting carrier
TRAIN_206631,8,12,1505,655,HNL,JFK,4983,Hawaiian Airlines Inc.,HA,19690,N395HA,False,HNL->JFK,reporting carrier
TRAIN_206836,8,6,1140,1229,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N486HA,False,KOA->HNL,reporting carrier
TRAIN_208519,8,22,501,546,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N484HA,False,HNL->KOA,reporting carrier
TRAIN_212170,8,14,1411,1455,HNL,LIH,102,,HA,19690,N495HA,False,HNL->LIH,reporting carrier
TRAIN_216358,8,18,725,1005,SMF,HNL,2462,Hawaiian Airlines Inc.,HA,19690,N580HA,False,SMF->HNL,reporting carrier
TRAIN_217922,8,25,1015,1315,SEA,OGG,2640,Hawaiian Airlines Inc.,HA,19690,N370HA,False,SEA->OGG,reporting carrier
TRAIN_219890,8,12,1722,1802,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->LIH,reporting carrier
TRAIN_221291,8,24,1641,1728,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N488HA,False,KOA->HNL,reporting carrier
TRAIN_221814,8,14,956,1039,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N490HA,False,HNL->OGG,reporting carrier
TRAIN_222676,8,30,1410,2210,OGG,SFO,2338,Hawaiian Airlines Inc.,HA,19690,N399HA,False,OGG->SFO,reporting carrier
TRAIN_223003,8,20,953,1041,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N491HA,False,HNL->KOA,reporting carrier
TRAIN_223422,8,3,1050,1855,OGG,OAK,2349,Hawaiian Airlines Inc.,HA,19690,N590HA,False,OGG->OAK,reporting carrier
TRAIN_226545,8,14,920,955,KOA,OGG,84,Hawaiian Airlines Inc.,HA,19690,N489HA,False,KOA->OGG,reporting carrier
TRAIN_226616,8,18,1200,2020,OGG,SAN,2541,Hawaiian Airlines Inc.,HA,19690,N205HA,False,OGG->SAN,reporting carrier
TRAIN_230297,8,12,1015,1330,SAN,HNL,2614,Hawaiian Airlines Inc.,HA,19690,N378HA,False,SAN->HNL,reporting carrier
TRAIN_232693,8,20,735,822,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N490HA,False,HNL->KOA,reporting carrier
TRAIN_233506,8,31,730,1115,PHX,HNL,2917,Hawaiian Airlines Inc.,HA,19690,N580HA,False,PHX->HNL,reporting carrier
TRAIN_239063,8,31,1100,1141,OGG,HNL,100,,HA,19690,N479HA,False,OGG->HNL,reporting carrier
TRAIN_239140,8,12,1940,2022,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->LIH,reporting carrier
TRAIN_239467,8,7,1450,1534,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N485HA,False,HNL->LIH,reporting carrier
TRAIN_243478,8,17,1325,2145,OGG,LAX,2486,Hawaiian Airlines Inc.,HA,19690,N386HA,False,OGG->LAX,reporting carrier
TRAIN_244463,8,16,2027,2104,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N492HA,False,OGG->HNL,reporting carrier
TRAIN_245584,8,10,700,747,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N494HA,False,HNL->KOA,reporting carrier
TRAIN_247396,8,25,1100,1141,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N483HA,False,OGG->HNL,reporting carrier
TRAIN_247401,8,18,1445,2315,OGG,SEA,2640,Hawaiian Airlines Inc.,HA,19690,N390HA,False,OGG->SEA,reporting carrier
TRAIN_251317,8,10,1913,2000,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->KOA,reporting carrier
TRAIN_253091,8,4,1745,1825,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N475HA,False,HNL->LIH,reporting carrier
TRAIN_255994,8,3,810,906,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N488HA,False,HNL->ITO,reporting carrier
TRAIN_256130,8,22,1100,1155,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N480HA,False,ITO->HNL,reporting carrier
TRAIN_256639,8,27,940,1210,OAK,LIH,2457,Hawaiian Airlines Inc.,HA,19690,N212HA,False,OAK->LIH,reporting carrier
TRAIN_264734,8,5,1830,1905,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N483HA,False,LIH->HNL,reporting carrier
TRAIN_265763,8,14,1111,1200,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N488HA,False,HNL->KOA,reporting carrier
TRAIN_266746,8,18,1506,1550,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N487HA,False,HNL->OGG,reporting carrier
TRAIN_267785,8,31,1810,2100,LAX,HNL,2556,Hawaiian Airlines Inc.,HA,19690,N379HA,False,LAX->HNL,reporting carrier
TRAIN_273427,8,12,1544,1620,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N495HA,False,LIH->HNL,reporting carrier
TRAIN_276281,8,6,1913,2000,HNL,KOA,163,Hawaiian Airlines Inc.,,19690,N495HA,False,HNL->KOA,reporting carrier
TRAIN_278873,8,21,1820,1906,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N483HA,False,KOA->HNL,reporting carrier
TRAIN_282126,8,25,730,955,SJC,OGG,2355,Hawaiian Airlines Inc.,HA,19690,N581HA,False,SJC->OGG,reporting carrier
TRAIN_283759,8,30,935,1017,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N480HA,False,HNL->LIH,reporting carrier
TRAIN_289249,8,8,1511,1607,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N480HA,False,HNL->ITO,reporting carrier
TRAIN_290399,8,27,1445,2315,OGG,SEA,2640,Hawaiian Airlines Inc.,HA,19690,N383HA,False,OGG->SEA,reporting carrier
TRAIN_290911,8,7,1720,1758,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N475HA,False,OGG->HNL,reporting carrier
TRAIN_293435,8,18,1415,1500,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N489HA,False,HNL->OGG,reporting carrier
TRAIN_295936,8,22,1100,1141,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N486HA,False,OGG->HNL,reporting carrier
TRAIN_300502,8,26,1820,2135,LAS,HNL,2762,Hawaiian Airlines Inc.,HA,19690,N393HA,False,LAS->HNL,reporting carrier
TRAIN_300743,8,30,1830,1905,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N484HA,False,LIH->HNL,reporting carrier
TRAIN_303720,8,9,810,906,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N489HA,False,HNL->ITO,reporting carrier
TRAIN_314143,8,19,1740,1815,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N476HA,False,LIH->HNL,reporting carrier
TRAIN_316583,8,30,920,955,KOA,OGG,84,Hawaiian Airlines Inc.,HA,19690,N479HA,False,KOA->OGG,reporting carrier
TRAIN_318904,8,12,1944,2020,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N488HA,False,LIH->HNL,reporting carrier
TRAIN_320891,8,5,1610,1652,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N488HA,False,HNL->OGG,reporting carrier
TRAIN_321702,8,26,1805,1853,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N475HA,False,HNL->KOA,reporting carrier
TRAIN_325663,8,31,1445,2315,OGG,SEA,2640,Hawaiian Airlines Inc.,HA,19690,N391HA,False,OGG->SEA,reporting carrier
TRAIN_331040,8,31,1410,2210,OGG,SFO,2338,Hawaiian Airlines Inc.,HA,19690,N382HA,False,OGG->SFO,reporting carrier
TRAIN_332460,8,5,614,650,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N480HA,False,OGG->HNL,reporting carrier
TRAIN_332867,8,28,1110,1146,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N492HA,False,LIH->HNL,reporting carrier
TRAIN_338031,8,9,1800,1835,LIH,HNL,102,,HA,19690,N477HA,False,LIH->HNL,reporting carrier
TRAIN_338963,8,29,726,807,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N494HA,False,HNL->LIH,reporting carrier
TRAIN_340784,8,26,1332,1427,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N495HA,False,ITO->HNL,reporting carrier
TRAIN_343041,8,27,933,1012,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N493HA,False,OGG->HNL,reporting carrier
TRAIN_345381,8,16,1636,1730,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N486HA,False,ITO->HNL,reporting carrier
TRAIN_345809,8,31,1330,2200,HNL,PDX,2603,Hawaiian Airlines Inc.,HA,19690,N590HA,False,HNL->PDX,reporting carrier
TRAIN_351449,8,19,940,1210,OAK,LIH,2457,Hawaiian Airlines Inc.,HA,19690,N202HA,False,OAK->LIH,reporting carrier
TRAIN_352224,8,23,2027,2104,OGG,HNL,100,Hawaiian Airlines Inc.,,19690,N494HA,False,OGG->HNL,reporting carrier
TRAIN_353888,8,3,1000,1305,LAX,HNL,2556,,HA,19690,N396HA,False,LAX->HNL,reporting carrier
TRAIN_354614,8,30,1305,1350,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->OGG,reporting carrier
TRAIN_355343,8,30,1835,1913,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N493HA,False,OGG->HNL,reporting carrier
TRAIN_356363,8,21,1855,1934,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->OGG,reporting carrier
TRAIN_356821,8,31,2138,2213,LIH,HNL,102,Hawaiian Airlines Inc.,,19690,N483HA,False,LIH->HNL,reporting carrier
TRAIN_356911,8,15,717,752,LIH,HNL,102,Hawaiian Airlines Inc.,,19690,N494HA,False,LIH->HNL,reporting carrier
TRAIN_358894,8,13,1825,1918,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N483HA,False,HNL->ITO,reporting carrier
TRAIN_359860,8,26,750,1640,HNL,LAS,2762,Hawaiian Airlines Inc.,HA,19690,N393HA,False,HNL->LAS,reporting carrier
TRAIN_361101,8,29,1310,2120,HNL,SFO,2398,Hawaiian Airlines Inc.,,19690,N399HA,False,HNL->SFO,reporting carrier
TRAIN_362629,8,6,810,847,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N493HA,False,OGG->HNL,reporting carrier
TRAIN_363499,8,30,2240,725,HNL,LAS,2762,Hawaiian Airlines Inc.,HA,19690,N388HA,False,HNL->LAS,reporting carrier
TRAIN_364921,8,2,830,1140,LGB,HNL,2569,Hawaiian Airlines Inc.,HA,19690,N215HA,False,LGB->HNL,reporting carrier
TRAIN_367351,8,26,1321,1357,LIH,HNL,102,,HA,19690,N494HA,False,LIH->HNL,reporting carrier
TRAIN_371723,8,4,1215,2030,LIH,OAK,2457,,HA,19690,N209HA,False,LIH->OAK,reporting carrier
TRAIN_372512,8,15,616,701,KOA,HNL,163,Hawaiian Airlines Inc.,,19690,N489HA,False,KOA->HNL,reporting carrier
TRAIN_374208,8,6,736,821,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N477HA,False,KOA->HNL,reporting carrier
TRAIN_378186,8,22,1820,2135,LAS,HNL,2762,Hawaiian Airlines Inc.,HA,19690,N390HA,False,LAS->HNL,reporting carrier
TRAIN_378905,8,16,1610,1645,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N475HA,False,LIH->HNL,reporting carrier
TRAIN_381049,8,21,1222,1257,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N486HA,False,LIH->HNL,reporting carrier
TRAIN_382693,8,2,1641,1728,KOA,HNL,163,,HA,19690,N481HA,False,KOA->HNL,reporting carrier
TRAIN_387062,8,23,1425,1515,OGG,LIH,201,Hawaiian Airlines Inc.,HA,19690,N481HA,False,OGG->LIH,reporting carrier
TRAIN_389398,8,4,1419,1500,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N483HA,False,OGG->HNL,reporting carrier
TRAIN_391440,8,7,1855,1934,HNL,OGG,100,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->OGG,reporting carrier
TRAIN_392669,8,4,1636,1730,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N485HA,False,ITO->HNL,reporting carrier
TRAIN_393465,8,24,1305,2115,HNL,SJC,2417,Hawaiian Airlines Inc.,HA,19690,N580HA,False,HNL->SJC,reporting carrier
TRAIN_395434,8,29,1521,1615,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N485HA,False,ITO->HNL,reporting carrier
TRAIN_403441,8,19,2100,2151,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N486HA,False,ITO->HNL,reporting carrier
TRAIN_406295,8,29,1303,1350,LIH,OGG,201,Hawaiian Airlines Inc.,HA,19690,N490HA,False,LIH->OGG,reporting carrier
TRAIN_406772,8,17,1411,1455,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N485HA,False,HNL->LIH,reporting carrier
TRAIN_406897,8,19,1913,2000,HNL,KOA,163,Hawaiian Airlines Inc.,HA,19690,N477HA,False,HNL->KOA,reporting carrier
TRAIN_408594,8,11,705,1005,SAN,OGG,2541,Hawaiian Airlines Inc.,HA,19690,N581HA,False,SAN->OGG,reporting carrier
TRAIN_417300,8,7,1454,1535,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N475HA,False,OGG->HNL,reporting carrier
TRAIN_418273,8,22,913,1001,HNL,KOA,163,,HA,19690,N481HA,False,HNL->KOA,reporting carrier
TRAIN_419488,8,6,625,659,LIH,HNL,102,,HA,19690,N489HA,False,LIH->HNL,reporting carrier
TRAIN_420590,8,20,810,847,OGG,HNL,100,Hawaiian Airlines Inc.,,19690,N493HA,False,OGG->HNL,reporting carrier
TRAIN_421688,8,8,1720,1758,OGG,HNL,100,Hawaiian Airlines Inc.,HA,19690,N486HA,False,OGG->HNL,reporting carrier
TRAIN_421883,8,12,2050,2126,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N477HA,False,LIH->HNL,reporting carrier
TRAIN_422149,8,9,1550,1637,KOA,HNL,163,,HA,19690,N495HA,False,KOA->HNL,reporting carrier
TRAIN_422315,8,22,1225,1318,ITO,HNL,216,Hawaiian Airlines Inc.,HA,19690,N483HA,False,ITO->HNL,reporting carrier
TRAIN_426714,8,6,1510,2355,HNL,LAS,2762,Hawaiian Airlines Inc.,HA,19690,N379HA,False,HNL->LAS,reporting carrier
TRAIN_428565,8,11,2150,2231,HNL,OGG,100,Hawaiian Airlines Inc.,,19690,N491HA,False,HNL->OGG,reporting carrier
TRAIN_435142,8,3,1505,1540,LIH,HNL,102,Hawaiian Airlines Inc.,HA,19690,N494HA,False,LIH->HNL,reporting carrier
TRAIN_436465,8,30,1000,1305,LAX,HNL,2556,Hawaiian Airlines Inc.,HA,19690,N393HA,False,LAX->HNL,reporting carrier
TRAIN_437661,8,8,936,1031,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N475HA,False,HNL->ITO,reporting carrier
TRAIN_438022,8,18,1530,1617,LIH,OGG,201,Hawaiian Airlines Inc.,HA,19690,N494HA,False,LIH->OGG,reporting carrier
TRAIN_439849,8,1,1645,1732,OGG,LIH,201,Hawaiian Airlines Inc.,HA,19690,N491HA,False,OGG->LIH,reporting carrier
TRAIN_441378,8,4,1303,1350,LIH,OGG,201,Hawaiian Airlines Inc.,HA,19690,N483HA,False,LIH->OGG,reporting carrier
TRAIN_441522,8,18,736,831,HNL,ITO,216,Hawaiian Airlines Inc.,HA,19690,N495HA,False,HNL->ITO,reporting carrier
TRAIN_441931,8,26,1600,1648,HNL,KOA,163,,HA,19690,N485HA,False,HNL->KOA,reporting carrier
TRAIN_444052,8,11,1745,1825,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N488HA,False,HNL->LIH,reporting carrier
TRAIN_444438,8,6,1000,1455,JFK,HNL,4983,,,19690,N388HA,False,JFK->HNL,reporting carrier
TRAIN_445659,8,23,1205,1253,OGG,LIH,201,Hawaiian Airlines Inc.,,19690,N488HA,False,OGG->LIH,reporting carrier
TRAIN_450180,8,8,900,1145,LAX,OGG,2486,Hawaiian Airlines Inc.,HA,19690,N381HA,False,LAX->OGG,reporting carrier
TRAIN_451081,8,7,1550,1637,KOA,HNL,163,Hawaiian Airlines Inc.,HA,19690,N490HA,False,KOA->HNL,reporting carrier
TRAIN_451334,8,20,1856,1948,ITO,HNL,216,Hawaiian Airlines Inc.,,19690,N476HA,False,ITO->HNL,reporting carrier
TRAIN_454614,8,28,816,857,HNL,LIH,102,Hawaiian Airlines Inc.,HA,19690,N475HA,False,HNL->LIH,reporting carrier
TRAIN_455129,8,22,750,1640,HNL,LAS,2762,Hawaiian Airlines Inc.,HA,19690,N390HA,False,HNL->LAS,reporting carrier
TRAIN_457103,8,23,1200,2020,OGG,SAN,2541,Hawaiian Airlines Inc.,HA,19690,N209HA,False,OGG->SAN,reporting carrier
