group,attribute,value,n,share,reference_share,share_ratio
양쪽 시각 결측,Destination_Airport,IAH,82,0.027053777631144835,0.02590527734843734,1.0443346067003902
양쪽 시각 결측,Destination_Airport,EWR,70,0.023094688221709007,0.021781963092633836,1.0602666124945876
양쪽 시각 결측,Destination_Airport,(고유값 수),248,,,
양쪽 시각 결측,Origin_State,(결측),329,0.10854503464203233,0.10941843985640003,0.9920177511622909
양쪽 시각 결측,Origin_State,California,299,0.09864731111844276,0.10410998138335958,0.9475298122972294
양쪽 시각 결측,Origin_State,Texas,298,0.09831738700098977,0.0889105067972959,1.1058016711696437
양쪽 시각 결측,Origin_State,Illinois,189,0.06235565819861432,0.05597831186082457,1.113925306530239
양쪽 시각 결측,Origin_State,Florida,181,0.05971626525899043,0.06569155634126228,0.9090401961063199
양쪽 시각 결측,Origin_State,Colorado,130,0.04289013526888816,0.038769030206363235,1.1062988947773194
양쪽 시각 결측,Origin_State,Georgia,126,0.04157043879907621,0.04253186309609051,0.9773951991042059
양쪽 시각 결측,Origin_State,New York,125,0.04124051468162323,0.0434750403689749,0.9486021020708173
양쪽 시각 결측,Origin_State,(고유값 수),52,,,
양쪽 시각 결측,Destination_State,(결측),341,0.11250412405146816,0.10840119106993833,1.0378495193736634
양쪽 시각 결측,Destination_State,California,296,0.0976575387660838,0.10350259497202566,0.9435274428866093
양쪽 시각 결측,Destination_State,Texas,296,0.0976575387660838,0.08808090584523004,1.1087254136291602
양쪽 시각 결측,Destination_State,Florida,205,0.0676344440778621,0.06542489889238397,1.0337722369141535
양쪽 시각 결측,Destination_State,Illinois,160,0.05278785879247773,0.05851649572607367,0.9021021873829779
양쪽 시각 결측,Destination_State,New York,123,0.040580666446717255,0.04340096885539759,0.9350175241922143
양쪽 시각 결측,Destination_State,Colorado,121,0.03992081821181128,0.0401121936525651,0.9952289958905906
양쪽 시각 결측,Destination_State,Georgia,121,0.03992081821181128,0.04344047366263882,0.9189775075161154
양쪽 시각 결측,Destination_State,(고유값 수),51,,,
양쪽 시각 결측,Distance,중앙값,3031,628.0,618.0,
양쪽 시각 결측,Distance,하위 25%,3031,349.0,349.0,
양쪽 시각 결측,Distance,상위 25%,3031,1011.0,1014.0,
양쪽 시각 결측,Distance,결측률,0,0.0,0.0,
양쪽 시각 결측,Day_of_Month,중앙값,3031,16.0,16.0,
양쪽 시각 결측,Day_of_Month,하위 25%,3031,8.0,8.0,
양쪽 시각 결측,Day_of_Month,상위 25%,3031,24.0,23.0,
양쪽 시각 결측,Day_of_Month,결측률,0,0.0,0.0,
3시드 공통 FN,Month,12,3045,0.12231371761397872,0.05645083470037634,2.1667300096301907
3시드 공통 FN,Month,11,2740,0.11006226149829283,0.04438869053362926,2.4795113389278445
3시드 공통 FN,Month,10,2539,0.10198835107451296,0.044002701920293354,2.3177747416341616
3시드 공통 FN,Month,9,2387,0.09588270737095803,0.039370838560262474,2.435373765895191
3시드 공통 FN,Month,1,1978,0.07945370556336613,0.06291614397375278,1.2628508447134403
3시드 공통 FN,Month,8,1905,0.07652138983731673,0.1480266332143202,0.5169433917106344
3시드 공통 FN,Month,4,1865,0.07491464149427596,0.07758371128051722,0.9655975495089326
3시드 공통 FN,Month,2,1774,0.07125928901385821,0.05751230338705008,1.2390268658567327
3시드 공통 FN,Month,(고유값 수),12,,,
3시드 공통 FN,Airline,Southwest Airlines Co.,3449,0.1385418758786905,0.29026343722860176,0.4772970278360604
3시드 공통 FN,Airline,(결측),2806,0.11271339626431011,0.09852359355399015,1.1440244128178705
3시드 공통 FN,Airline,SkyWest Airlines Inc.,2590,0.10403695521188994,0.02595773424683972,4.0079366797799825
3시드 공통 FN,Airline,Delta Air Lines Inc.,2434,0.09777063667403094,0.02586123709350574,3.780586223332025
3시드 공통 FN,Airline,American Airlines Inc.,2060,0.08274753966659971,0.09784811348065232,0.8456733269871527
3시드 공통 FN,Airline,United Air Lines Inc.,2006,0.08057842940349468,0.10325195406735502,0.7804058541200143
3시드 공통 FN,Airline,Alaska Airlines Inc.,903,0.03627234384414541,0.006658303580044388,5.447685496476506
3시드 공통 FN,Airline,Envoy Air,803,0.03225547298654348,0.017369487600115797,1.8570192586641672
3시드 공통 FN,Airline,(고유값 수),28,,,
3시드 공통 FN,Carrier_Code(IATA),UA,5321,0.2137376983329986,0.21046029142140307,1.0155725666322166
3시드 공통 FN,Carrier_Code(IATA),AA,4892,0.19650532235388632,0.14194731255427964,1.3843539466711925
3시드 공통 FN,Carrier_Code(IATA),DL,4496,0.18059851375778269,0.05751230338705008,3.1401718088454733
3시드 공통 FN,Carrier_Code(IATA),WN,3441,0.13822052621008235,0.29161439737527745,0.4739838891843426
3시드 공통 FN,Carrier_Code(IATA),(결측),2837,0.1139586262301667,0.10682234874071216,1.0668050981239543
3시드 공통 FN,Carrier_Code(IATA),AS,1463,0.058766820646716206,0.007719772266718132,7.612507029524001
3시드 공통 FN,Carrier_Code(IATA),B6,730,0.029323157260494077,0.11512110392743415,0.2547157407296732
3시드 공통 FN,Carrier_Code(IATA),NK,650,0.02610966057441253,0.016597510373443983,1.573107049608355
3시드 공통 FN,Carrier_Code(IATA),(고유값 수),11,,,
3시드 공통 FN,Origin_Airport,ATL,1205,0.04840329383410323,0.02528225417350188,1.9145165419954648
3시드 공통 FN,Origin_Airport,ORD,1199,0.04816228158264712,0.07034642478046897,0.684644340248247
3시드 공통 FN,Origin_Airport,DEN,953,0.038280779272946375,0.052301457107015344,0.7319256745489728
3시드 공통 FN,Origin_Airport,LAX,911,0.036593693512753565,0.01814146482678761,2.017130031237581
3시드 공통 FN,Origin_Airport,SEA,784,0.03149226752359911,0.0056933320467046225,5.531429971984027
3시드 공통 FN,Origin_Airport,IAH,781,0.03137176139787106,0.009939206793399595,3.1563646928751243
3시드 공통 FN,Origin_Airport,DFW,780,0.031331592689295036,0.03744089549358294,0.8368280799978465
3시드 공통 FN,Origin_Airport,CLT,732,0.029403494677646115,0.014764064460098427,1.9915582702251418
3시드 공통 FN,Origin_Airport,(고유값 수),358,,,
3시드 공통 FN,Destination_Airport,ORD,1464,0.05880698935529223,0.03618643250024124,1.6251115485037158
3시드 공통 FN,Destination_Airport,ATL,1185,0.04759991966258285,0.01698349898677989,2.802715724223557
3시드 공통 FN,Destination_Airport,DEN,1004,0.040329383410323355,0.03309852359355399,1.2184647238518396
3시드 공통 FN,Destination_Airport,DFW,885,0.03554930708977706,0.023255813953488372,1.5286202048604138
3시드 공통 FN,Destination_Airport,LAX,844,0.03390239003816027,0.03145807198687639,1.077700821979923
3시드 공통 FN,Destination_Airport,IAH,780,0.031331592689295036,0.009167229566727782,3.4177820530438363
3시드 공통 FN,Destination_Airport,SEA,719,0.028881301466157864,0.011097172633407315,2.602581974728643
3시드 공통 FN,Destination_Airport,CLT,695,0.0279172524603334,0.011290166940075268,2.472705019200299
3시드 공통 FN,Destination_Airport,(고유값 수),361,,,
3시드 공통 FN,Origin_State,California,2731,0.10970074312110865,0.06108269806040722,1.7959380741928104
3시드 공통 FN,Origin_State,(결측),2646,0.10628640289214701,0.10807681173405384,0.9834339224743924
3시드 공통 FN,Origin_State,Texas,2255,0.09058043783892347,0.10344494837402296,0.8756390646686232
3시드 공통 FN,Origin_State,Florida,1430,0.057441253263707574,0.09591817041397278,0.5988568486637843
3시드 공통 FN,Origin_State,Illinois,1275,0.051215103434424585,0.0995850622406639,0.5142849969873469
3시드 공통 FN,Origin_State,Georgia,1161,0.04663587065675839,0.02451027694683007,1.9027068016377446
3시드 공통 FN,Origin_State,New York,1012,0.040650733078931515,0.07526777960050178,0.5400814703807273
3시드 공통 FN,Origin_State,Colorado,987,0.03964651536453103,0.047380102286982535,0.8367756389463036
3시드 공통 FN,Origin_State,(고유값 수),52,,,
3시드 공통 FN,Destination_State,(결측),2664,0.10700943964651537,0.10981376049406542,0.974462937659788
3시드 공통 FN,Destination_State,California,2555,0.10263105041172926,0.09813760494065425,1.0457871931334812
3시드 공통 FN,Destination_State,Texas,2362,0.09487848965655754,0.07922416288719483,1.197595357260543
3시드 공통 FN,Destination_State,Illinois,1604,0.06443060855593492,0.048538068126990255,1.3274242474456335
3시드 공통 FN,Destination_State,Florida,1514,0.06081542478409319,0.0921547814339477,0.6599269602487515
3시드 공통 FN,Destination_State,Georgia,1153,0.04631452098815023,0.01592203030010615,2.908832612122429
3시드 공통 FN,Destination_State,Colorado,1015,0.04077123920465957,0.03290552928688604,1.2390391550671176
3시드 공통 FN,Destination_State,North Carolina,957,0.03844145410725045,0.020650390813471003,1.8615363967917589
3시드 공통 FN,Destination_State,(고유값 수),52,,,
3시드 공통 FN,Distance,중앙값,24895,612.0,762.0,
3시드 공통 FN,Distance,하위 25%,24895,346.0,423.0,
3시드 공통 FN,Distance,상위 25%,24895,1020.0,1108.0,
3시드 공통 FN,Distance,결측률,0,0.0,0.0,
3시드 공통 FN,Day_of_Month,중앙값,24895,16.0,16.0,
3시드 공통 FN,Day_of_Month,하위 25%,24895,8.0,8.0,
3시드 공통 FN,Day_of_Month,상위 25%,24895,23.0,23.0,
3시드 공통 FN,Day_of_Month,결측률,0,0.0,0.0,
3시드 공통 FP,Month,8,3014,0.13975054481383595,0.0757614488937742,1.8446128849750671
3시드 공통 FP,Month,7,2546,0.11805072564566235,0.0671532100359156,1.7579312378741867
3시드 공통 FP,Month,5,2450,0.11359948068808828,0.06708930328864121,1.6932577194809182
3시드 공통 FP,Month,6,2272,0.10534613066258636,0.05946522833880801,1.7715584990671884
3시드 공통 FP,Month,4,1863,0.08638197245792183,0.08456140799345595,1.0215294956371441
3시드 공통 FP,Month,1,1739,0.08063244772105532,0.07718017868326538,1.0447299954040983
3시드 공통 FP,Month,3,1715,0.0795196364816618,0.07149886885057324,1.1121803429904786
3시드 공통 FP,Month,2,1372,0.06361570918532944,0.05301703753882335,1.1999106728425724
3시드 공통 FP,Month,(고유값 수),12,,,
3시드 공통 FP,Airline,Southwest Airlines Co.,6393,0.29642509389344834,0.15684632983550403,1.8899077473112094
3시드 공통 FP,Airline,American Airlines Inc.,2316,0.10738628460147448,0.07419573358555197,1.4473377297045238
3시드 공통 FP,Airline,JetBlue Airways,2119,0.09825195901145269,0.02576080982630146,3.8140089412538063
3시드 공통 FP,Airline,(결측),2089,0.09686094496221079,0.11119134958268893,0.8711194290359687
3시드 공통 FP,Airline,United Air Lines Inc.,2068,0.09588723512774146,0.08056084561407993,1.1902461350403561
3시드 공통 FP,Airline,Republic Airlines,791,0.03667640376501136,0.035065632229450784,1.0459359045637777
3시드 공통 FP,Airline,Frontier Airlines Inc.,749,0.0347289840960727,0.010461534528815552,3.319683551243289
3시드 공통 FP,Airline,SkyWest Airlines Inc.,722,0.033477071451755,0.09642250028758036,0.347191489039483
3시드 공통 FP,Airline,(고유값 수),26,,,
3시드 공통 FP,Carrier_Code(IATA),WN,6387,0.29614689108359993,0.15724894234333262,1.8832997327066385
3시드 공통 FP,Carrier_Code(IATA),UA,4282,0.1985440719617935,0.1971906593898184,1.0068634720131424
3시드 공통 FP,Carrier_Code(IATA),AA,3405,0.15788009458895536,0.17990388425209933,0.8775802437245767
3시드 공통 FP,Carrier_Code(IATA),(결측),2233,0.10353781239857189,0.10940196065900638,0.946398142911603
3시드 공통 FP,Carrier_Code(IATA),B6,2128,0.09866926322622525,0.02553713621084114,3.863755998777096
3시드 공통 FP,Carrier_Code(IATA),DL,1369,0.06347660778040524,0.20108258029882795,0.3156743248772367
3시드 공통 FP,Carrier_Code(IATA),F9,761,0.035285389715769465,0.01049987857718018,3.3605521679514143
3시드 공통 FP,Carrier_Code(IATA),NK,364,0.016877637130801686,0.026981428699242065,0.6255279258535259
3시드 공통 FP,Carrier_Code(IATA),(고유값 수),11,,,
3시드 공통 FP,Origin_Airport,ORD,1682,0.0779895210274957,0.03622873502984445,2.152697878169073
3시드 공통 FP,Origin_Airport,EWR,1254,0.05814438725831131,0.014295939365278187,4.067195989899882
3시드 공통 FP,Origin_Airport,DEN,1158,0.05369314230073724,0.03303339766612559,1.6254199111887717
3시드 공통 FP,Origin_Airport,BOS,901,0.04177678861223165,0.015484604864581603,2.6979563881406454
3시드 공통 FP,Origin_Airport,DFW,857,0.039736634673343534,0.024680785797364487,1.610023076233933
3시드 공통 FP,Origin_Airport,LGA,854,0.039597533268419347,0.014155344521274557,2.797355670779107
3시드 공통 FP,Origin_Airport,MDW,746,0.034589882691148516,0.007387619984918008,4.682141577634548
3시드 공통 FP,Origin_Airport,MCO,697,0.03231789307738675,0.016941678702437405,1.9075968589073269
3시드 공통 FP,Origin_Airport,(고유값 수),251,,,
3시드 공통 FP,Destination_Airport,EWR,1314,0.060926415356795105,0.013746341338718542,4.432191363180189
3시드 공통 FP,Destination_Airport,BOS,1048,0.04859275745351695,0.013688825266171602,3.5498120918820844
3시드 공통 FP,Destination_Airport,LGA,1039,0.04817545323874438,0.012167844681041425,3.9592429474223962
3시드 공통 FP,Destination_Airport,SFO,895,0.04149858580238327,0.014724114572016514,2.818409596000577
3시드 공통 FP,Destination_Airport,ORD,838,0.038855659108823666,0.04905481920781196,0.7920864807230992
3시드 공통 FP,Destination_Airport,DEN,719,0.033337970046830805,0.04297728754201869,0.7757113571729354
3시드 공통 FP,Destination_Airport,LAX,698,0.03236426021236148,0.03243906491647388,0.9976939932052601
3시드 공통 FP,Destination_Airport,MCO,654,0.030324106273473362,0.016455987423152137,1.8427400005672097
3시드 공통 FP,Destination_Airport,(고유값 수),265,,,
3시드 공통 FP,Origin_State,(결측),2359,0.10938007140538786,0.10942752335791613,0.9995663618158197
3시드 공통 FP,Origin_State,Texas,2203,0.10214679834932999,0.08444637584836207,1.2096054723858376
3시드 공통 FP,Origin_State,Illinois,2195,0.10177586126953216,0.04124541469088306,2.467567898936141
3시드 공통 FP,Origin_State,Florida,1907,0.08842212639680994,0.06283950459489512,1.4071104946933821
3시드 공통 FP,Origin_State,California,1624,0.07530022719896137,0.1059829496798272,0.710493786278285
3시드 공통 FP,Origin_State,New York,1481,0.068669726897575,0.037097866792775984,1.8510424677827286
3시드 공통 FP,Origin_State,New Jersey,1110,0.0514675198219502,0.013599355819987474,3.7845557174337987
3시드 공통 FP,Origin_State,Colorado,1079,0.050030138637733576,0.03346796354759136,1.494866533082924
3시드 공통 FP,Origin_State,(고유값 수),51,,,
3시드 공통 FP,Destination_State,California,2404,0.11146659247925071,0.09738110149669602,1.1446429621976764
3시드 공통 FP,Destination_State,(결측),2336,0.10831362730096908,0.10872454913789797,0.9962205238817986
3시드 공통 FP,Destination_State,Florida,1901,0.08814392358696156,0.06038548549955904,1.4596872552694011
3시드 공통 FP,Destination_State,New York,1789,0.0829508044697918,0.03294392821994146,2.5179390847379404
3시드 공통 FP,Destination_State,Texas,1773,0.08220893031019613,0.08784621480335894,0.9358278042396967
3시드 공통 FP,Destination_State,New Jersey,1186,0.054991422080029675,0.013017804419790642,4.224323880333276
3시드 공통 FP,Destination_State,Illinois,1112,0.05156025409189966,0.05670445685655492,0.9092804507824045
3시드 공통 FP,Destination_State,Massachusetts,955,0.044280613900867065,0.012564066514142562,3.5243855045675874
3시드 공통 FP,Destination_State,(고유값 수),50,,,
3시드 공통 FP,Distance,중앙값,21567,738.0,590.0,
3시드 공통 FP,Distance,하위 25%,21567,407.0,335.0,
3시드 공통 FP,Distance,상위 25%,21567,1096.0,985.0,
3시드 공통 FP,Distance,결측률,0,0.0,0.0,
3시드 공통 FP,Day_of_Month,중앙값,21567,16.0,16.0,
3시드 공통 FP,Day_of_Month,하위 25%,21567,8.0,8.0,
3시드 공통 FP,Day_of_Month,상위 25%,21567,24.0,23.0,
3시드 공통 FP,Day_of_Month,결측률,0,0.0,0.0,
