month,day,rows_2018,rows_2019,share_2018
8,20,1000,1075,0.4819277108433735
8,21,995,1034,0.49038935436175457
8,22,959,995,0.4907881269191402
8,23,1049,1073,0.4943449575871819
8,24,1015,865,0.5398936170212766
8,25,761,971,0.43937644341801385
8,26,954,979,0.49353336782203827
8,27,992,1040,0.4881889763779528
8,28,941,1017,0.48059244126659856
8,29,1027,1028,0.4997566909975669
8,30,1013,956,0.5144743524631793
8,31,1046,750,0.5824053452115813
9,1,1039,719,0.5910125142207053
9,2,1056,943,0.5282641320660331
9,3,1366,895,0.6041574524546661
9,4,1339,915,0.5940550133096717
9,5,1316,881,0.5989986345015931
9,6,1312,932,0.5846702317290553
9,7,1372,752,0.6459510357815442
9,8,1029,976,0.5132169576059851
9,9,1342,1013,0.5698513800424628
9,10,1448,972,0.5983471074380166
9,11,1279,995,0.5624450307827616
9,12,1352,1081,0.5556925606247431
9,13,1383,1084,0.5605999189298744
9,14,1312,748,0.6368932038834951
9,15,1020,931,0.5228088159917991
9,16,1322,1010,0.5668953687821612
9,17,1394,969,0.5899280575539568
9,18,1371,983,0.5824129141886151
9,19,1379,987,0.5828402366863905
9,20,1437,961,0.5992493744787323
9,21,1436,765,0.6524307133121309
9,22,1100,1013,0.5205868433506863
9,23,1298,1013,0.5616616183470359
9,24,1430,981,0.5931148900871008
9,25,1409,972,0.5917681646367072
9,26,1430,1055,0.5754527162977867
9,27,1485,987,0.6007281553398058
9,28,1463,827,0.6388646288209607
9,29,1109,963,0.5352316602316602
9,30,1384,1029,0.5735598839618732
10,1,1436,995,0.590703414232826
10,2,1351,934,0.5912472647702407
10,3,1304,989,0.5686873092019189
10,4,1415,1045,0.5752032520325203
10,5,1428,780,0.6467391304347826
10,6,1067,1008,0.5142168674698795
10,7,1387,985,0.5847386172006745
10,8,1412,990,0.5878434637801832
10,9,1403,1015,0.5802315963606286
10,10,1410,1044,0.5745721271393643
10,11,1384,1082,0.5612327656123277
10,12,1438,764,0.6530426884650318
10,13,1128,997,0.5308235294117647
10,14,1329,1030,0.5633743111487919
10,15,1493,942,0.6131416837782341
10,16,1353,1018,0.5706452973428933
10,17,1446,1054,0.5784
10,18,1460,1069,0.5773032819296164
10,19,1458,792,0.648
10,20,1085,1040,0.5105882352941177
10,21,1318,1043,0.5582380347310462
10,22,1377,1017,0.575187969924812
10,23,1388,935,0.597503228583728
10,24,1355,1032,0.5676581483033096
10,25,1439,1069,0.5737639553429027
10,26,1473,752,0.6620224719101123
10,27,1098,983,0.5276309466602594
10,28,1263,1003,0.557369814651368
10,29,1333,916,0.5927078701645175
10,30,1251,971,0.563006300630063
10,31,1084,883,0.5510930350788003
11,1,1320,926,0.5877114870881567
11,2,1427,756,0.6536875858909758
11,3,1052,984,0.5166994106090373
11,4,1354,971,0.5823655913978495
11,5,1421,925,0.6057118499573743
11,6,1303,947,0.5791111111111111
11,7,1313,1092,0.5459459459459459
11,8,1443,1007,0.5889795918367347
11,9,1532,809,0.654421187526698
11,10,1098,983,0.5276309466602594
11,11,1315,1010,0.5655913978494623
11,12,1475,1028,0.589292848581702
11,13,1340,969,0.5803378085751407
11,14,1443,1030,0.5835018196522442
11,15,1463,987,0.5971428571428572
11,16,1508,756,0.666077738515901
11,17,1183,940,0.557230334432407
11,18,1246,988,0.5577439570277529
11,19,1323,978,0.5749674054758801
11,20,1390,989,0.5842791088692728
11,21,1452,1038,0.5831325301204819
11,22,843,1025,0.4512847965738758
11,23,945,862,0.5229662423907028
11,24,1375,974,0.5853554704129417
11,25,1432,1000,0.5888157894736842
11,26,1396,992,0.5845896147403685
11,27,1368,1047,0.5664596273291925
11,28,1339,565,0.7032563025210085
11,29,1422,741,0.6574202496532594
11,30,1333,1098,0.5483340189222542
12,1,1034,1170,0.4691470054446461
12,2,1286,1017,0.5584020842379505
12,3,1376,941,0.5938713854121709
12,4,1267,1024,0.5530336097773898
12,5,1329,966,0.5790849673202615
12,6,1428,1101,0.564650059311981
12,7,1379,740,0.6507786691835772
12,8,1006,1003,0.5007466401194625
12,9,1200,984,0.5494505494505495
12,10,1350,952,0.5864465682015638
12,11,1272,969,0.5676037483266398
12,12,1264,989,0.5610297381269419
12,13,1396,962,0.5920271416454622
12,14,1409,784,0.6424988600091199
12,15,1027,1010,0.5041728031418753
12,16,1325,1055,0.5567226890756303
12,17,1260,969,0.5652759084791387
12,18,1284,1019,0.5575336517585757
12,19,1396,1048,0.5711947626841244
12,20,1468,1079,0.5763643502159403
12,21,1543,959,0.6167066346922462
12,22,1316,1008,0.5662650602409639
12,23,1366,1076,0.5593775593775594
12,24,1097,805,0.5767613038906414
12,25,1017,804,0.5584843492586491
12,26,1415,994,0.5873806558738066
12,27,1493,988,0.6017734784361145
12,28,1505,950,0.6130346232179226
12,29,1380,1006,0.5783738474434199
12,30,1353,1080,0.5561035758323057
12,31,1211,806,0.6003966286564204
